 time            v(phi_1)        v(di_phi_1_n)   v(phi_2)        v(di_phi_2_n)   v(Vcm)         
 0.00000000e+00  0.00000000e+00  1.49999991e+00  0.00000000e+00  1.49999992e+00  0.00000000e+00 
 1.00000000e-13  1.50000000e-02  1.50367198e+00  0.00000000e+00  1.50038040e+00  1.08433244e-06 
 2.00000000e-13  3.00000000e-02  1.50790497e+00  0.00000000e+00  1.50091118e+00  2.66584018e-06 
 4.00000000e-13  6.00000000e-02  1.51678689e+00  0.00000000e+00  1.50210228e+00  6.35408699e-06 
 8.00000000e-13  1.20000000e-01  1.53496320e+00  0.00000000e+00  1.50464820e+00  1.49075996e-05 
 1.60000000e-12  2.40000000e-01  1.56891154e+00  0.00000000e+00  1.50922593e+00  3.21580695e-05 
 3.20000000e-12  4.80000000e-01  1.62944884e+00  0.00000000e+00  1.51666892e+00  6.77624104e-05 
 6.40000000e-12  9.60000000e-01  1.68544058e+00  0.00000000e+00  1.51636321e+00  1.93847952e-04 
 1.00000000e-11  1.50000000e+00  1.47150464e+00  0.00000000e+00  1.48240684e+00  4.65489078e-04 
 1.06400000e-11  1.50000000e+00  1.36643908e+00  0.00000000e+00  1.47162986e+00  5.11657086e-04 
 1.19200000e-11  1.50000000e+00  1.15564933e+00  0.00000000e+00  1.45536921e+00  5.96897473e-04 
 1.44800000e-11  1.50000000e+00  7.70803627e-01  0.00000000e+00  1.44812214e+00  7.58771305e-04 
 1.96000000e-11  1.50000000e+00  2.35566616e-01  0.00000000e+00  1.46737683e+00  1.08649416e-03 
 2.98400000e-11  1.50000000e+00 -4.02238504e-02  0.00000000e+00  1.49875004e+00  1.79432679e-03 
 4.76864655e-11  1.50000000e+00  2.21562544e-02  0.00000000e+00  1.50137761e+00  3.07948631e-03 
 6.76960301e-11  1.50000000e+00 -1.30706020e-02  0.00000000e+00  1.49844087e+00  4.48657249e-03 
 1.03290401e-10  1.50000000e+00  9.65061831e-03  0.00000000e+00  1.50080711e+00  6.94258336e-03 
 1.74479142e-10  1.50000000e+00 -8.55914638e-03  0.00000000e+00  1.49881247e+00  1.16403645e-02 
 3.16856625e-10  1.50000000e+00  7.85336343e-03  0.00000000e+00  1.50070863e+00  2.02896675e-02 
 6.01611590e-10  1.50000000e+00 -7.64307882e-03  0.00000000e+00  1.49901772e+00  3.49787091e-02 
 1.04796987e-09  1.50000000e+00  7.48327975e-03  0.00000000e+00  1.50081825e+00  5.22781244e-02 
 1.45877720e-09  1.50000000e+00 -7.26474265e-03  0.00000000e+00  1.49916853e+00  6.32278370e-02 
 2.07336876e-09  1.50000000e+00  7.19583046e-03  0.00000000e+00  1.50081818e+00  7.35294365e-02 
 2.86876334e-09  1.50000000e+00 -7.06343244e-03  0.00000000e+00  1.49920827e+00  8.02408678e-02 
 3.78779061e-09  1.50000000e+00  7.02195714e-03  0.00000000e+00  1.50078842e+00  8.34757779e-02 
 4.80981497e-09  1.50000000e+00 -6.92427543e-03  0.00000000e+00  1.49922474e+00  8.47842074e-02 
 5.94928098e-09  1.50000000e+00  6.89095180e-03  0.00000000e+00  1.50076707e+00  8.52567639e-02 
 7.50033280e-09  1.50000000e+00 -6.82116351e-03  0.00000000e+00  1.49923904e+00  8.54175252e-02 
 9.74791643e-09  1.50000000e+00  6.81621569e-03  0.00000000e+00  1.50075604e+00  8.54468756e-02 
 1.35304282e-08  1.50000000e+00 -6.77338670e-03  0.00000000e+00  1.49924594e+00  8.54437553e-02 
 2.07911651e-08  1.50000000e+00  6.78894505e-03  0.00000000e+00  1.50075215e+00  8.54460905e-02 
 3.53126388e-08  1.50000000e+00 -6.75953125e-03  0.00000000e+00  1.49924794e+00  8.54443935e-02 
 6.43555864e-08  1.50000000e+00  6.78195867e-03  0.00000000e+00  1.50075115e+00  8.54468799e-02 
 1.22441481e-07  1.50000000e+00 -6.75607219e-03  0.00000000e+00  1.49924843e+00  8.54461427e-02 
 2.38613272e-07  1.50000000e+00  6.78021331e-03  0.00000000e+00  1.50075090e+00  8.54503055e-02 
 4.70956852e-07  1.50000000e+00 -6.75520773e-03  0.00000000e+00  1.49924856e+00  8.54530289e-02 
 9.35644013e-07  1.50000000e+00  6.77977704e-03  0.00000000e+00  1.50075084e+00  8.54640578e-02 
 1.43564401e-06  1.50000000e+00 -6.75492978e-03  0.00000000e+00  1.49924860e+00  8.54720730e-02 
 1.93564401e-06  1.50000000e+00  6.77950676e-03  0.00000000e+00  1.50075080e+00  8.54837886e-02 
 2.43564401e-06  1.50000000e+00 -6.75466201e-03  0.00000000e+00  1.49924864e+00  8.54918123e-02 
 2.93564401e-06  1.50000000e+00  6.77923648e-03  0.00000000e+00  1.50075076e+00  8.55035179e-02 
 3.43564401e-06  1.50000000e+00 -6.75439425e-03  0.00000000e+00  1.49924868e+00  8.55115498e-02 
 3.93564401e-06  1.50000000e+00  6.77896622e-03  0.00000000e+00  1.50075072e+00  8.55232454e-02 
 4.43564401e-06  1.50000000e+00 -6.75412651e-03  0.00000000e+00  1.49924871e+00  8.55312855e-02 
 4.93564401e-06  1.50000000e+00  6.77869597e-03  0.00000000e+00  1.50075068e+00  8.55429713e-02 
 5.43564401e-06  1.50000000e+00 -6.75385878e-03  0.00000000e+00  1.49924875e+00  8.55510194e-02 
 5.93564401e-06  1.50000000e+00  6.77842572e-03  0.00000000e+00  1.50075065e+00  8.55626956e-02 
 6.43564401e-06  1.50000000e+00 -6.75359106e-03  0.00000000e+00  1.49924879e+00  8.55707515e-02 
 6.93564401e-06  1.50000000e+00  6.77815550e-03  0.00000000e+00  1.50075061e+00  8.55824182e-02 
 7.43564401e-06  1.50000000e+00 -6.75332334e-03  0.00000000e+00  1.49924883e+00  8.55904818e-02 
 7.93564401e-06  1.50000000e+00  6.77788528e-03  0.00000000e+00  1.50075057e+00  8.56021391e-02 
 8.43564401e-06  1.50000000e+00 -6.75305565e-03  0.00000000e+00  1.49924887e+00  8.56102103e-02 
 8.93564401e-06  1.50000000e+00  6.77761507e-03  0.00000000e+00  1.50075053e+00  8.56218584e-02 
 9.43564401e-06  1.50000000e+00 -6.75278796e-03  0.00000000e+00  1.49924891e+00  8.56299370e-02 
 9.93564401e-06  1.50000000e+00  6.77734488e-03  0.00000000e+00  1.50075049e+00  8.56415760e-02 
 1.04356440e-05  1.50000000e+00 -6.75252028e-03  0.00000000e+00  1.49924895e+00  8.56496620e-02 
 1.09356440e-05  1.50000000e+00  6.77707469e-03  0.00000000e+00  1.50075045e+00  8.56612919e-02 
 1.14356440e-05  1.50000000e+00 -6.75225262e-03  0.00000000e+00  1.49924898e+00  8.56693851e-02 
 1.19356440e-05  1.50000000e+00  6.77680452e-03  0.00000000e+00  1.50075041e+00  8.56810062e-02 
 1.24356440e-05  1.50000000e+00 -6.75198496e-03  0.00000000e+00  1.49924902e+00  8.56891065e-02 
 1.29356440e-05  1.50000000e+00  6.77653436e-03  0.00000000e+00  1.50075038e+00  8.57007188e-02 
 1.34356440e-05  1.50000000e+00 -6.75171732e-03  0.00000000e+00  1.49924906e+00  8.57088260e-02 
 1.39356440e-05  1.50000000e+00  6.77626422e-03  0.00000000e+00  1.50075034e+00  8.57204298e-02 
 1.44356440e-05  1.50000000e+00 -6.75144969e-03  0.00000000e+00  1.49924910e+00  8.57285438e-02 
 1.49356440e-05  1.50000000e+00  6.77599408e-03  0.00000000e+00  1.50075030e+00  8.57401391e-02 
 1.54356440e-05  1.50000000e+00 -6.75118207e-03  0.00000000e+00  1.49924914e+00  8.57482598e-02 
 1.58750100e-05  1.50000000e+00  6.77570532e-03  0.00000000e+00  1.50075026e+00  8.57586517e-02 
 1.58750110e-05  1.35000000e+00 -2.59533779e-02  0.00000000e+00  1.49599883e+00  8.57261850e-02 
 1.58750130e-05  1.05000000e+00 -8.53905173e-02  0.00000000e+00  1.48882787e+00  8.56507127e-02 
 1.58750170e-05  4.50000000e-01 -1.65468676e-01  0.00000000e+00  1.47960337e+00  8.55165222e-02 
 1.58750200e-05  0.00000000e+00 -1.30924560e-01  0.00000000e+00  1.47635849e+00  8.54610003e-02 
 1.58750208e-05  0.00000000e+00 -7.03718586e-02  0.00000000e+00  1.48027299e+00  8.54651325e-02 
 1.58750224e-05  0.00000000e+00  5.48511732e-02  0.00000000e+00  1.48788911e+00  8.54768447e-02 
 1.58750256e-05  0.00000000e+00  3.02857530e-01  0.00000000e+00  1.49813864e+00  8.55007116e-02 
 1.58750320e-05  0.00000000e+00  7.61353243e-01  0.00000000e+00  1.50643334e+00  8.55410200e-02 
 1.58750448e-05  0.00000000e+00  1.33611526e+00  0.00000000e+00  1.50566687e+00  8.55874906e-02 
 1.58750704e-05  0.00000000e+00  1.54239119e+00  0.00000000e+00  1.49912550e+00  8.56026398e-02 
 1.58751180e-05  0.00000000e+00  1.47584467e+00  0.00000000e+00  1.50028024e+00  8.55980199e-02 
 1.58751626e-05  0.00000000e+00  1.51260165e+00  0.00000000e+00  1.49997828e+00  8.56004439e-02 
 1.58752516e-05  0.00000000e+00  1.49068982e+00  0.00000000e+00  1.49997167e+00  8.55991222e-02 
 1.58754297e-05  0.00000000e+00  1.50802426e+00  0.00000000e+00  1.50004293e+00  8.56001078e-02 
 1.58757859e-05  0.00000000e+00  1.49272438e+00  0.00000000e+00  1.49995168e+00  8.55992795e-02 
 1.58764983e-05  0.00000000e+00  1.50712012e+00  0.00000000e+00  1.50005047e+00  8.56000500e-02 
 1.58779230e-05  0.00000000e+00  1.49312846e+00  0.00000000e+00  1.49994841e+00  8.55993173e-02 
 1.58807724e-05  0.00000000e+00  1.50691159e+00  0.00000000e+00  1.50005198e+00  8.56000429e-02 
 1.58864714e-05  0.00000000e+00  1.49322620e+00  0.00000000e+00  1.49994768e+00  8.55993341e-02 
 1.58978692e-05  0.00000000e+00  1.50686044e+00  0.00000000e+00  1.50005234e+00  8.56000516e-02 
 1.59206649e-05  0.00000000e+00  1.49325043e+00  0.00000000e+00  1.49994750e+00  8.55993546e-02 
 1.59662562e-05  0.00000000e+00  1.50684771e+00  0.00000000e+00  1.50005243e+00  8.56000823e-02 
 1.60000000e-05  0.00000000e+00  1.49325997e+00  0.00000000e+00  1.49994743e+00  8.55993903e-02 
 1.60000010e-05  0.00000000e+00  1.49839481e+00  1.50000000e-01  1.54866741e+00  8.55997387e-02 
 1.60000030e-05  0.00000000e+00  1.50838946e+00  4.50000000e-01  1.63986240e+00  8.56004890e-02 
 1.60000070e-05  0.00000000e+00  1.52376756e+00  1.05000000e+00  1.70657072e+00  8.56016415e-02 
 1.60000100e-05  0.00000000e+00  1.52907455e+00  1.50000000e+00  1.51233082e+00  8.56019947e-02 
 1.60000108e-05  0.00000000e+00  1.52480686e+00  1.50000000e+00  1.36899647e+00  8.56015635e-02 
 1.60000124e-05  0.00000000e+00  1.51648853e+00  1.50000000e+00  1.08240886e+00  8.56008981e-02 
 1.60000156e-05  0.00000000e+00  1.50891238e+00  1.50000000e+00  5.98546432e-01  8.56004382e-02 
 1.60000220e-05  0.00000000e+00  1.51477731e+00  1.50000000e+00  8.83266881e-02  8.56009082e-02 
 1.60000331e-05  0.00000000e+00  1.51697581e+00  1.50000000e+00 -1.97213931e-02  8.56010302e-02 
 1.60000505e-05  0.00000000e+00  1.49980920e+00  1.50000000e+00  1.22432697e-02  8.55997075e-02 
 1.60000690e-05  0.00000000e+00  1.50014920e+00  1.50000000e+00 -6.94662836e-03  8.55997727e-02 
 1.60001060e-05  0.00000000e+00  1.50122633e+00  1.50000000e+00  6.09355121e-03  8.55998179e-02 
 1.60001801e-05  0.00000000e+00  1.50011090e+00  1.50000000e+00 -4.81192284e-03  8.55997676e-02 
 1.60003281e-05  0.00000000e+00  1.50120404e+00  1.50000000e+00  5.18455843e-03  8.55998170e-02 
 1.60006242e-05  0.00000000e+00  1.50010313e+00  1.50000000e+00 -4.36997275e-03  8.55997663e-02 
 1.60012165e-05  0.00000000e+00  1.50096424e+00  1.50000000e+00  4.89419472e-03  8.55997988e-02 
 1.60024010e-05  0.00000000e+00  1.49949604e+00  1.50000000e+00 -4.59669483e-03  8.55997204e-02 
 1.60040991e-05  0.00000000e+00  1.50065604e+00  1.50000000e+00  4.67392368e-03  8.55997786e-02 
 1.60063234e-05  0.00000000e+00  1.49938539e+00  1.50000000e+00 -4.61500546e-03  8.55997217e-02 
 1.60091992e-05  0.00000000e+00  1.50062596e+00  1.50000000e+00  4.62508358e-03  8.55997994e-02 
 1.60137720e-05  0.00000000e+00  1.49937380e+00  1.50000000e+00 -4.59977169e-03  8.55997655e-02 
 1.60212865e-05  0.00000000e+00  1.50062624e+00  1.50000000e+00  4.61136082e-03  8.55998771e-02 
 1.60363155e-05  0.00000000e+00  1.49937304e+00  1.50000000e+00 -4.59242422e-03  8.55999115e-02 
 1.60663735e-05  0.00000000e+00  1.50062664e+00  1.50000000e+00  4.60767522e-03  8.56001692e-02 
 1.61264895e-05  0.00000000e+00  1.49937284e+00  1.50000000e+00 -4.59059729e-03  8.56004958e-02 
 1.62467215e-05  0.00000000e+00  1.50062674e+00  1.50000000e+00  4.60675519e-03  8.56013377e-02 
 1.64871855e-05  0.00000000e+00  1.49937279e+00  1.50000000e+00 -4.59014083e-03  8.56028328e-02 
 1.69681134e-05  0.00000000e+00  1.50062676e+00  1.50000000e+00  4.60652525e-03  8.56060118e-02 
 1.74681134e-05  0.00000000e+00  1.49937277e+00  1.50000000e+00 -4.58999160e-03  8.56091884e-02 
 1.79681134e-05  0.00000000e+00  1.50062678e+00  1.50000000e+00  4.60637781e-03  8.56124909e-02 
 1.84681134e-05  0.00000000e+00  1.49937275e+00  1.50000000e+00 -4.58984528e-03  8.56156674e-02 
 1.89681134e-05  0.00000000e+00  1.50062679e+00  1.50000000e+00  4.60623039e-03  8.56189698e-02 
 1.94681134e-05  0.00000000e+00  1.49937274e+00  1.50000000e+00 -4.58969897e-03  8.56221463e-02 
 1.99681134e-05  0.00000000e+00  1.50062681e+00  1.50000000e+00  4.60608297e-03  8.56254486e-02 
 2.04681134e-05  0.00000000e+00  1.49937272e+00  1.50000000e+00 -4.58955267e-03  8.56286250e-02 
 2.09681134e-05  0.00000000e+00  1.50062683e+00  1.50000000e+00  4.60593556e-03  8.56319273e-02 
 2.14681134e-05  0.00000000e+00  1.49937271e+00  1.50000000e+00 -4.58940637e-03  8.56351037e-02 
 2.19681134e-05  0.00000000e+00  1.50062684e+00  1.50000000e+00  4.60578816e-03  8.56384059e-02 
 2.24681134e-05  0.00000000e+00  1.49937269e+00  1.50000000e+00 -4.58926009e-03  8.56415822e-02 
 2.29681134e-05  0.00000000e+00  1.50062686e+00  1.50000000e+00  4.60564077e-03  8.56448844e-02 
 2.34681134e-05  0.00000000e+00  1.49937267e+00  1.50000000e+00 -4.58911381e-03  8.56480606e-02 
 2.39681134e-05  0.00000000e+00  1.50062688e+00  1.50000000e+00  4.60549339e-03  8.56513627e-02 
 2.44681134e-05  0.00000000e+00  1.49937266e+00  1.50000000e+00 -4.58896754e-03  8.56545389e-02 
 2.49681134e-05  0.00000000e+00  1.50062689e+00  1.50000000e+00  4.60534601e-03  8.56578409e-02 
 2.54681134e-05  0.00000000e+00  1.49937264e+00  1.50000000e+00 -4.58882128e-03  8.56610170e-02 
 2.59681134e-05  0.00000000e+00  1.50062691e+00  1.50000000e+00  4.60519865e-03  8.56643190e-02 
 2.64681134e-05  0.00000000e+00  1.49937262e+00  1.50000000e+00 -4.58867503e-03  8.56674950e-02 
 2.69681134e-05  0.00000000e+00  1.50062692e+00  1.50000000e+00  4.60505129e-03  8.56707970e-02 
 2.74681134e-05  0.00000000e+00  1.49937261e+00  1.50000000e+00 -4.58852878e-03  8.56739729e-02 
 2.79681134e-05  0.00000000e+00  1.50062694e+00  1.50000000e+00  4.60490393e-03  8.56772748e-02 
 2.84681134e-05  0.00000000e+00  1.49937259e+00  1.50000000e+00 -4.58838255e-03  8.56804507e-02 
 2.89681134e-05  0.00000000e+00  1.50062696e+00  1.50000000e+00  4.60475659e-03  8.56837526e-02 
 2.94681134e-05  0.00000000e+00  1.49937258e+00  1.50000000e+00 -4.58823631e-03  8.56869284e-02 
 2.99681134e-05  0.00000000e+00  1.50062697e+00  1.50000000e+00  4.60460925e-03  8.56902301e-02 
 3.04681134e-05  0.00000000e+00  1.49937256e+00  1.50000000e+00 -4.58809009e-03  8.56934059e-02 
 3.09681134e-05  0.00000000e+00  1.50062699e+00  1.50000000e+00  4.60446192e-03  8.56967076e-02 
 3.14681134e-05  0.00000000e+00  1.49937254e+00  1.50000000e+00 -4.58794387e-03  8.56998833e-02 
 3.18750100e-05  0.00000000e+00  1.50062701e+00  1.50000000e+00  4.60429775e-03  8.57025819e-02 
 3.18750110e-05  0.00000000e+00  1.49519246e+00  1.35000000e+00 -3.04761536e-02  8.57021035e-02 
 3.18750130e-05  0.00000000e+00  1.48698288e+00  1.05000000e+00 -9.27176658e-02  8.57014968e-02 
 3.18750170e-05  0.00000000e+00  1.48349068e+00  4.50000000e-01 -1.66148691e-01  8.57013066e-02 
 3.18750200e-05  0.00000000e+00  1.48810063e+00  0.00000000e+00 -1.19136940e-01  8.57016653e-02 
 3.18750208e-05  0.00000000e+00  1.49344821e+00  0.00000000e+00 -5.34108605e-02  8.57021467e-02 
 3.18750224e-05  0.00000000e+00  1.50284595e+00  0.00000000e+00  8.07704833e-02  8.57028620e-02 
 3.18750256e-05  0.00000000e+00  1.51253571e+00  0.00000000e+00  3.46809062e-01  8.57035197e-02 
 3.18750320e-05  0.00000000e+00  1.51623010e+00  0.00000000e+00  8.26197151e-01  8.57037987e-02 
 3.18750448e-05  0.00000000e+00  1.50900689e+00  0.00000000e+00  1.38649851e+00  8.57032151e-02 
 3.18750704e-05  0.00000000e+00  1.49886108e+00  0.00000000e+00  1.53755627e+00  8.57024962e-02 
 3.18751010e-05  0.00000000e+00  1.49994896e+00  0.00000000e+00  1.48309328e+00  8.57025894e-02 
 3.18751415e-05  0.00000000e+00  1.50019576e+00  0.00000000e+00  1.50906709e+00  8.57026697e-02 
 3.18752224e-05  0.00000000e+00  1.49979957e+00  0.00000000e+00  1.49332470e+00  8.57026977e-02 
 3.18753843e-05  0.00000000e+00  1.50018739e+00  0.00000000e+00  1.50584834e+00  8.57029086e-02 
 3.18757082e-05  0.00000000e+00  1.49981205e+00  0.00000000e+00  1.49465003e+00  8.57031715e-02 
 3.18763559e-05  0.00000000e+00  1.50017996e+00  0.00000000e+00  1.50521208e+00  8.57038323e-02 
 3.18776513e-05  0.00000000e+00  1.49981636e+00  0.00000000e+00  1.49494083e+00  8.57049389e-02 
 3.18802422e-05  0.00000000e+00  1.50017835e+00  0.00000000e+00  1.50506471e+00  8.57070810e-02 
 3.18854239e-05  0.00000000e+00  1.49981815e+00  0.00000000e+00  1.49501186e+00  8.57105415e-02 
 3.18957874e-05  0.00000000e+00  1.50017874e+00  0.00000000e+00  1.50502935e+00  8.57158682e-02 
 3.19165143e-05  0.00000000e+00  1.49981939e+00  0.00000000e+00  1.49503024e+00  8.57228815e-02 
 3.19579680e-05  0.00000000e+00  1.50017922e+00  0.00000000e+00  1.50498396e+00  8.57317201e-02 
 3.20000000e-05  0.00000000e+00  1.49981991e+00  0.00000000e+00  1.49503616e+00  8.57375480e-02 
 3.20000010e-05  1.50000000e-01  1.54036443e+00  0.00000000e+00  1.50126299e+00  8.57567863e-02 
 3.20000030e-05  4.50000000e-01  1.61808619e+00  0.00000000e+00  1.51299442e+00  8.57991398e-02 
 3.20000070e-05  1.05000000e+00  1.65762761e+00  0.00000000e+00  1.50584558e+00  8.59684269e-02 
 3.20000100e-05  1.50000000e+00  1.43530811e+00  0.00000000e+00  1.45361299e+00  8.62455541e-02 
 3.20000108e-05  1.50000000e+00  1.29432553e+00  0.00000000e+00  1.43029516e+00  8.63250393e-02 
 3.20000124e-05  1.50000000e+00  1.01475259e+00  0.00000000e+00  1.39408942e+00  8.64757567e-02 
 3.20000156e-05  1.50000000e+00  5.42088635e-01  0.00000000e+00  1.38198436e+00  8.67660317e-02 
 3.20000220e-05  1.50000000e+00  7.66248532e-02  0.00000000e+00  1.44120829e+00  8.73506037e-02 
 3.20000348e-05  1.50000000e+00 -2.47743048e-02  0.00000000e+00  1.50388182e+00  8.85738459e-02 
 3.20000483e-05  1.50000000e+00  9.25360221e-03  0.00000000e+00  1.49896266e+00  8.98794477e-02 
 3.20000724e-05  1.50000000e+00 -6.08304908e-03  0.00000000e+00  1.49968956e+00  9.21827478e-02 
 3.20001207e-05  1.50000000e+00  4.41601600e-03  0.00000000e+00  1.49958181e+00  9.67044862e-02 
 3.20002173e-05  1.50000000e+00 -4.34686098e-03  0.00000000e+00  1.49958265e+00  1.05373164e-01 
 3.20004106e-05  1.50000000e+00  3.78511124e-03  0.00000000e+00  1.49973279e+00  1.21281925e-01 
 3.20007971e-05  1.50000000e+00 -3.86729848e-03  0.00000000e+00  1.49972791e+00  1.47375787e-01 
 3.20015701e-05  1.50000000e+00  3.74505923e-03  0.00000000e+00  1.50000099e+00  1.78528766e-01 
 3.20023174e-05  1.50000000e+00 -3.70472772e-03  0.00000000e+00  1.49991856e+00  1.90110235e-01 
 3.20030767e-05  1.50000000e+00  3.66286773e-03  0.00000000e+00  1.50006950e+00  1.94234358e-01 
 3.20039795e-05  1.50000000e+00 -3.61260474e-03  0.00000000e+00  1.49992755e+00  1.96030569e-01 
 3.20052226e-05  1.50000000e+00  3.59179680e-03  0.00000000e+00  1.50007451e+00  1.96828255e-01 
 3.20074211e-05  1.50000000e+00 -3.56768504e-03  0.00000000e+00  1.49992484e+00  1.97109050e-01 
 3.20102510e-05  1.50000000e+00  3.56222791e-03  0.00000000e+00  1.50007559e+00  1.97111247e-01 
 3.20154228e-05  1.50000000e+00 -3.54803773e-03  0.00000000e+00  1.49992392e+00  1.97109476e-01 
 3.20255239e-05  1.50000000e+00  3.55169592e-03  0.00000000e+00  1.50007608e+00  1.97111337e-01 
 3.20457262e-05  1.50000000e+00 -3.54272195e-03  0.00000000e+00  1.49992367e+00  1.97109885e-01 
 3.20861306e-05  1.50000000e+00  3.54902658e-03  0.00000000e+00  1.50007620e+00  1.97112064e-01 
 3.21669394e-05  1.50000000e+00 -3.54139438e-03  0.00000000e+00  1.49992361e+00  1.97111379e-01 
 3.23285570e-05  1.50000000e+00  3.54835959e-03  0.00000000e+00  1.50007624e+00  1.97115034e-01 
 3.26517923e-05  1.50000000e+00 -3.54106257e-03  0.00000000e+00  1.49992359e+00  1.97117328e-01 
 3.31517923e-05  1.50000000e+00  3.54817658e-03  0.00000000e+00  1.50007624e+00  1.97125128e-01 
 3.36517923e-05  1.50000000e+00 -3.54091958e-03  0.00000000e+00  1.49992358e+00  1.97129593e-01 
 3.41517923e-05  1.50000000e+00  3.54803288e-03  0.00000000e+00  1.50007625e+00  1.97137390e-01 
 3.46517923e-05  1.50000000e+00 -3.54077659e-03  0.00000000e+00  1.49992358e+00  1.97141858e-01 
 3.51517923e-05  1.50000000e+00  3.54788918e-03  0.00000000e+00  1.50007626e+00  1.97149652e-01 
 3.56517923e-05  1.50000000e+00 -3.54063361e-03  0.00000000e+00  1.49992357e+00  1.97154123e-01 
 3.61517923e-05  1.50000000e+00  3.54774549e-03  0.00000000e+00  1.50007626e+00  1.97161912e-01 
 3.66517923e-05  1.50000000e+00 -3.54049064e-03  0.00000000e+00  1.49992356e+00  1.97166387e-01 
 3.71517923e-05  1.50000000e+00  3.54760181e-03  0.00000000e+00  1.50007627e+00  1.97174172e-01 
 3.76517923e-05  1.50000000e+00 -3.54034767e-03  0.00000000e+00  1.49992356e+00  1.97178650e-01 
 3.81517923e-05  1.50000000e+00  3.54745813e-03  0.00000000e+00  1.50007628e+00  1.97186432e-01 
 3.86517923e-05  1.50000000e+00 -3.54020471e-03  0.00000000e+00  1.49992355e+00  1.97190912e-01 
 3.91517923e-05  1.50000000e+00  3.54731446e-03  0.00000000e+00  1.50007628e+00  1.97198691e-01 
 3.96517923e-05  1.50000000e+00 -3.54006176e-03  0.00000000e+00  1.49992354e+00  1.97203174e-01 
 4.01517923e-05  1.50000000e+00  3.54717079e-03  0.00000000e+00  1.50007629e+00  1.97210949e-01 
 4.06517923e-05  1.50000000e+00 -3.53991881e-03  0.00000000e+00  1.49992354e+00  1.97215436e-01 
 4.11517923e-05  1.50000000e+00  3.54702713e-03  0.00000000e+00  1.50007630e+00  1.97223207e-01 
 4.16517923e-05  1.50000000e+00 -3.53977587e-03  0.00000000e+00  1.49992353e+00  1.97227696e-01 
 4.21517923e-05  1.50000000e+00  3.54688348e-03  0.00000000e+00  1.50007630e+00  1.97235464e-01 
 4.26517923e-05  1.50000000e+00 -3.53963293e-03  0.00000000e+00  1.49992352e+00  1.97239956e-01 
 4.31517923e-05  1.50000000e+00  3.54673984e-03  0.00000000e+00  1.50007631e+00  1.97247721e-01 
 4.36517923e-05  1.50000000e+00 -3.53949000e-03  0.00000000e+00  1.49992352e+00  1.97252215e-01 
 4.41517923e-05  1.50000000e+00  3.54659620e-03  0.00000000e+00  1.50007632e+00  1.97259977e-01 
 4.46517923e-05  1.50000000e+00 -3.53934708e-03  0.00000000e+00  1.49992351e+00  1.97264474e-01 
 4.51517923e-05  1.50000000e+00  3.54645256e-03  0.00000000e+00  1.50007632e+00  1.97272232e-01 
 4.56517923e-05  1.50000000e+00 -3.53920416e-03  0.00000000e+00  1.49992350e+00  1.97276732e-01 
 4.61517923e-05  1.50000000e+00  3.54630894e-03  0.00000000e+00  1.50007633e+00  1.97284487e-01 
 4.66517923e-05  1.50000000e+00 -3.53906125e-03  0.00000000e+00  1.49992350e+00  1.97288989e-01 
 4.71517923e-05  1.50000000e+00  3.54616532e-03  0.00000000e+00  1.50007634e+00  1.97296741e-01 
 4.76517923e-05  1.50000000e+00 -3.53891835e-03  0.00000000e+00  1.49992349e+00  1.97301246e-01 
 4.78750100e-05  1.50000000e+00  3.54593267e-03  0.00000000e+00  1.50007635e+00  1.97305602e-01 
 4.78750110e-05  1.35000000e+00 -2.81862970e-02  0.00000000e+00  1.49535562e+00  1.97273712e-01 
 4.78750130e-05  1.05000000e+00 -8.66472591e-02  0.00000000e+00  1.48797775e+00  1.97201096e-01 
 4.78750170e-05  4.50000000e-01 -1.66301547e-01  0.00000000e+00  1.47865764e+00  1.97079397e-01 
 4.78750200e-05  0.00000000e+00 -1.31787590e-01  0.00000000e+00  1.47587519e+00  1.97027556e-01 
 4.78750208e-05  0.00000000e+00 -7.15569268e-02  0.00000000e+00  1.47985763e+00  1.97031650e-01 
 4.78750224e-05  0.00000000e+00  5.29639745e-02  0.00000000e+00  1.48760444e+00  1.97043461e-01 
 4.78750256e-05  0.00000000e+00  2.99389004e-01  0.00000000e+00  1.49803913e+00  1.97067631e-01 
 4.78750320e-05  0.00000000e+00  7.55183876e-01  0.00000000e+00  1.50651601e+00  1.97108600e-01 
 4.78750448e-05  0.00000000e+00  1.33130967e+00  0.00000000e+00  1.50581647e+00  1.97156218e-01 
 4.78750704e-05  0.00000000e+00  1.54295542e+00  0.00000000e+00  1.49913798e+00  1.97172056e-01 
 4.78751184e-05  0.00000000e+00  1.47549683e+00  0.00000000e+00  1.50026587e+00  1.97167292e-01 
 4.78751625e-05  0.00000000e+00  1.51265401e+00  0.00000000e+00  1.49999388e+00  1.97169782e-01 
 4.78752508e-05  0.00000000e+00  1.49069393e+00  0.00000000e+00  1.49995804e+00  1.97168441e-01 
 4.78754273e-05  0.00000000e+00  1.50800229e+00  0.00000000e+00  1.50005543e+00  1.97169435e-01 
 4.78757803e-05  0.00000000e+00  1.49275245e+00  0.00000000e+00  1.49993975e+00  1.97168604e-01 
 4.78764863e-05  0.00000000e+00  1.50708821e+00  0.00000000e+00  1.50006212e+00  1.97169375e-01 
