 time            v(clk)          v(vs)           v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 1.49575954e-07  0.00000000e+00  5.29310362e-01  1.49999723e+00  1.49999631e+00 -2.15170745e-06  5.05075029e-08 
 1.49615954e-07  0.00000000e+00  5.29366102e-01  1.49999719e+00  1.49999630e+00  2.43607151e-06  2.33733171e-07 
 1.49655954e-07  0.00000000e+00  5.29425585e-01  1.49999724e+00  1.49999632e+00 -2.15055145e-06  5.18429548e-08 
 1.49695954e-07  0.00000000e+00  5.29481146e-01  1.49999720e+00  1.49999631e+00  2.43490321e-06  2.32410559e-07 
 1.49735954e-07  0.00000000e+00  5.29540383e-01  1.49999725e+00  1.49999633e+00 -2.14937283e-06  5.31514830e-08 
 1.49775954e-07  0.00000000e+00  5.29595765e-01  1.49999721e+00  1.49999632e+00  2.43371256e-06  2.31114566e-07 
 1.49815954e-07  0.00000000e+00  5.29654758e-01  1.49999726e+00  1.49999635e+00 -2.14817209e-06  5.44337114e-08 
 1.49855954e-07  0.00000000e+00  5.29709962e-01  1.49999722e+00  1.49999634e+00  2.43250003e-06  2.29844575e-07 
 1.49895954e-07  0.00000000e+00  5.29768714e-01  1.49999727e+00  1.49999636e+00 -2.14694972e-06  5.56902470e-08 
 1.49935954e-07  0.00000000e+00  5.29823741e-01  1.49999723e+00  1.49999635e+00  2.43126612e-06  2.28599985e-07 
 1.49975954e-07  0.00000000e+00  5.29882254e-01  1.49999728e+00  1.49999637e+00 -2.14570619e-06  5.69216841e-08 
 1.50000000e-07  0.00000000e+00  5.29914538e-01  1.49999724e+00  1.49999636e+00  2.42959042e-06  2.26981101e-07 
 time            v(clk)          v(vs)           v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 0.00000000e+00  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.00000000e-13  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.00000000e-13  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.60000000e-12  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 3.20000000e-12  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.40000000e-12  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.28000000e-11  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.56000000e-11  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.12000000e-11  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.12000000e-11  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.31200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.71200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.11200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.51200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.91200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 3.31200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 3.71200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.11200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.51200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.91200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.31200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.71200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.11200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.51200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.91200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 7.31200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 7.71200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.11200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.51200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.91200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.31200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.71200000e-10  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.01120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.05120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.09120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.13120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.17120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.21120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.25120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.29120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.33120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.37120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.41120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.45120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.49120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.53120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.57120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.61120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.65120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.69120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.73120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.77120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.81120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.85120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.89120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.93120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.97120000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.00000000e-09  0.00000000e+00  6.98620130e-01  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.00100000e-09  1.50000000e-01  7.26608955e-01  1.50037802e+00  1.50037802e+00 -7.15102419e-03 -7.15102428e-03 
 2.00300000e-09  4.50000000e-01  7.88146342e-01  1.50113547e+00  1.50113547e+00 -2.27510789e-02 -2.27510791e-02 
 2.00700000e-09  1.05000000e+00  7.77749953e-01  1.50258967e+00  1.50258965e+00 -5.39536042e-02 -5.39536039e-02 
 2.01000000e-09  1.50000000e+00  5.24589436e-01  1.50331913e+00  1.50331909e+00 -7.20771191e-02 -7.20771181e-02 
 2.01080000e-09  1.50000000e+00  4.04097631e-01  1.50332076e+00  1.50332067e+00 -7.24886708e-02 -7.24886689e-02 
 2.01240000e-09  1.50000000e+00  2.13857013e-01  1.50332165e+00  1.50332023e+00 -7.23903543e-02 -7.23903263e-02 
 2.01560000e-09  1.50000000e+00  7.05380049e-02  1.50310151e+00  1.50307755e+00 -7.20718914e-02 -7.20713551e-02 
 2.02200000e-09  1.50000000e+00  5.53335961e-02  1.50206363e+00  1.50196106e+00 -7.21715393e-02 -7.21687242e-02 
 2.03264410e-09  1.50000000e+00  6.06120629e-02  1.50023630e+00  1.50000017e+00 -7.21534843e-02 -7.21461407e-02 
 2.04992167e-09  1.50000000e+00  5.77820714e-02  1.49731612e+00  1.49686396e+00 -7.23685091e-02 -7.23539211e-02 
 2.08447681e-09  1.50000000e+00  5.95629272e-02  1.49144601e+00  1.49056223e+00 -7.25163057e-02 -7.24872001e-02 
 2.12447681e-09  1.50000000e+00  5.81137953e-02  1.48467625e+00  1.48329391e+00 -7.28887021e-02 -7.28428262e-02 
 2.16447681e-09  1.50000000e+00  5.90883076e-02  1.47789842e+00  1.47601888e+00 -7.30756564e-02 -7.30130149e-02 
 2.20447681e-09  1.50000000e+00  5.82782797e-02  1.47114077e+00  1.46876499e+00 -7.34463372e-02 -7.33669475e-02 
 2.24447681e-09  1.50000000e+00  5.87050393e-02  1.46437873e+00  1.46150822e+00 -7.36347326e-02 -7.35386094e-02 
 2.28447681e-09  1.50000000e+00  5.83597086e-02  1.45763383e+00  1.45426944e+00 -7.40033767e-02 -7.38905398e-02 
 2.32447681e-09  1.50000000e+00  5.83895994e-02  1.45088724e+00  1.44703056e+00 -7.41932971e-02 -7.40637746e-02 
 2.36447681e-09  1.50000000e+00  5.83802335e-02  1.44415556e+00  1.43980738e+00 -7.45596378e-02 -7.44134592e-02 
 2.40447681e-09  1.50000000e+00  5.81241395e-02  1.43742417e+00  1.43258614e+00 -7.47510342e-02 -7.45882445e-02 
 2.44447681e-09  1.50000000e+00  5.83557816e-02  1.43070607e+00  1.42537896e+00 -7.51149709e-02 -7.49356034e-02 
 2.48447681e-09  1.50000000e+00  5.78953657e-02  1.42398971e+00  1.41817520e+00 -7.53078041e-02 -7.51119259e-02 
 2.52447681e-09  1.50000000e+00  5.82985127e-02  1.41728545e+00  1.41098428e+00 -7.56688941e-02 -7.54565865e-02 
 2.56447681e-09  1.50000000e+00  5.76934657e-02  1.41058399e+00  1.40379788e+00 -7.58627342e-02 -7.56341031e-02 
 2.60447681e-09  1.50000000e+00  5.82171278e-02  1.40389380e+00  1.39662346e+00 -7.62206065e-02 -7.59757805e-02 
 2.64447681e-09  1.50000000e+00  5.75111879e-02  1.39720717e+00  1.38945435e+00 -7.64149939e-02 -7.61541375e-02 
 2.68447681e-09  1.50000000e+00  5.81178988e-02  1.39053120e+00  1.38229661e+00 -7.67691297e-02 -7.64924453e-02 
 2.72447681e-09  1.50000000e+00  5.73431662e-02  1.38385937e+00  1.37514478e+00 -7.69633949e-02 -7.66711364e-02 
 2.76447681e-09  1.50000000e+00  5.80054499e-02  1.37719777e+00  1.36800389e+00 -7.73130488e-02 -7.70055325e-02 
 2.80447681e-09  1.50000000e+00  5.71854363e-02  1.37054073e+00  1.36086934e+00 -7.75062304e-02 -7.71838466e-02 
 2.84447681e-09  1.50000000e+00  5.78831877e-02  1.36389361e+00  1.35374544e+00 -7.78503221e-02 -7.75135607e-02 
 2.88447681e-09  1.50000000e+00  5.70350725e-02  1.35725137e+00  1.34662818e+00 -7.80410450e-02 -7.76905045e-02 
 2.92447681e-09  1.50000000e+00  5.77540318e-02  1.35061884e+00  1.33952140e+00 -7.83779460e-02 -7.80143606e-02 
 2.96447681e-09  1.50000000e+00  5.68899731e-02  1.34399142e+00  1.33242150e+00 -7.85642108e-02 -7.81885019e-02 
 3.00447681e-09  1.50000000e+00  5.76185396e-02  1.33737358e+00  1.32533195e+00 -7.88917774e-02 -7.85051083e-02 
 3.04447681e-09  1.50000000e+00  5.67484237e-02  1.33076103e+00  1.31824946e+00 -7.90708329e-02 -7.86745911e-02 
 3.08447681e-09  1.50000000e+00  5.74794111e-02  1.32415797e+00  1.31117725e+00 -7.93857092e-02 -7.89816455e-02 
 3.12447681e-09  1.50000000e+00  5.66093276e-02  1.31756034e+00  1.30411225e+00 -7.95534989e-02 -7.91437178e-02 
 3.16447681e-09  1.50000000e+00  5.73371638e-02  1.31097215e+00  1.29705751e+00 -7.98509414e-02 -7.94380901e-02 
 3.20447681e-09  1.50000000e+00  5.64718224e-02  1.30438950e+00  1.29001008e+00 -8.00016900e-02 -7.95889454e-02 
 3.24447681e-09  1.50000000e+00  5.71925266e-02  1.29781627e+00  1.28297292e+00 -8.02748633e-02 -7.98662114e-02 
 3.28447681e-09  1.50000000e+00  5.63352735e-02  1.29124867e+00  1.27594317e+00 -8.04002954e-02 -8.00005125e-02 
 3.32447681e-09  1.50000000e+00  5.70460332e-02  1.28469049e+00  1.26892372e+00 -8.06393688e-02 -8.02544323e-02 
 3.36447681e-09  1.50000000e+00  5.61988598e-02  1.27813804e+00  1.26191180e+00 -8.07270077e-02 -8.03643979e-02 
 3.40447681e-09  1.50000000e+00  5.68980260e-02  1.27159505e+00  1.25491025e+00 -8.09171595e-02 -8.05857477e-02 
 3.44447681e-09  1.50000000e+00  5.60630034e-02  1.26505785e+00  1.24791630e+00 -8.09503168e-02 -8.06609678e-02 
 3.48447681e-09  1.50000000e+00  5.67488510e-02  1.25853014e+00  1.24093279e+00 -8.10717164e-02 -8.08376327e-02 
 3.52447681e-09  1.50000000e+00  5.59270288e-02  1.25200830e+00  1.23395697e+00 -8.10260803e-02 -8.08633440e-02 
 3.56447681e-09  1.50000000e+00  5.65987109e-02  1.24549601e+00  1.22699171e+00 -8.10498088e-02 -8.09779307e-02 
 3.60447681e-09  1.50000000e+00  5.57907554e-02  1.23898968e+00  1.22003425e+00 -8.08908728e-02 -8.09335061e-02 
 3.64447681e-09  1.50000000e+00  5.64477527e-02  1.23249297e+00  1.21308747e+00 -8.07759981e-02 -8.09617322e-02 
 3.68447681e-09  1.50000000e+00  5.56540511e-02  1.22600231e+00  1.20614862e+00 -8.04551671e-02 -8.08184689e-02 
 3.72447681e-09  1.50000000e+00  5.62960830e-02  1.21952137e+00  1.19922062e+00 -8.01443315e-02 -8.07266151e-02 
 3.76447681e-09  1.50000000e+00  5.55168203e-02  1.21304661e+00  1.19230070e+00 -7.95940032e-02 -8.04448273e-02 
 3.80447681e-09  1.50000000e+00  5.61437788e-02  1.20658166e+00  1.18539180e+00 -7.90080465e-02 -8.01864521e-02 
 3.84447681e-09  1.50000000e+00  5.53789944e-02  1.20012302e+00  1.17849117e+00 -7.81358829e-02 -7.97118089e-02 
 3.88447681e-09  1.50000000e+00  5.59908961e-02  1.19367435e+00  1.17160178e+00 -7.71679296e-02 -7.92237299e-02 
 3.92447681e-09  1.50000000e+00  5.52405249e-02  1.18723213e+00  1.16472087e+00 -7.58509996e-02 -7.84829319e-02 
 3.96447681e-09  1.50000000e+00  5.58374755e-02  1.18080004e+00  1.15785143e+00 -7.43609649e-02 -7.76806885e-02 
 4.00447681e-09  1.50000000e+00  5.51013783e-02  1.17437459e+00  1.15099072e+00 -7.24409757e-02 -7.65768527e-02 
 4.04447681e-09  1.50000000e+00  5.56835470e-02  1.16795945e+00  1.14414175e+00 -7.02519072e-02 -7.53501946e-02 
 4.08447681e-09  1.50000000e+00  5.49615330e-02  1.16155116e+00  1.13730177e+00 -6.75330280e-02 -7.37586700e-02 
 4.12447681e-09  1.50000000e+00  5.55291331e-02  1.15515338e+00  1.13047382e+00 -6.44307235e-02 -7.19679583e-02 
 4.16447681e-09  1.50000000e+00  5.48209757e-02  1.14876269e+00  1.12365516e+00 -6.06812076e-02 -6.97335857e-02 
 4.20447681e-09  1.50000000e+00  5.53742511e-02  1.14238275e+00  1.11684884e+00 -5.64179229e-02 -6.72081758e-02 
 4.24447681e-09  1.50000000e+00  5.46797001e-02  1.13601015e+00  1.11005213e+00 -5.13758392e-02 -6.41450206e-02 
 4.28447681e-09  1.50000000e+00  5.52189146e-02  1.12964854e+00  1.10326808e+00 -4.56778501e-02 -6.06845104e-02 
 4.32447681e-09  1.50000000e+00  5.45377049e-02  1.12329454e+00  1.09649399e+00 -3.90601778e-02 -5.65787123e-02 
 4.36447681e-09  1.50000000e+00  5.50631352e-02  1.11695182e+00  1.08973291e+00 -3.16380446e-02 -5.19573851e-02 
 4.40447681e-09  1.50000000e+00  5.43949924e-02  1.11061699e+00  1.08298213e+00 -2.31517225e-02 -4.65730948e-02 
 4.44447681e-09  1.50000000e+00  5.49069224e-02  1.10429371e+00  1.07624472e+00 -1.37117520e-02 -4.05471714e-02 
 4.48447681e-09  1.50000000e+00  5.42515681e-02  1.09797864e+00  1.06951796e+00 -3.06522523e-03 -3.36348867e-02 
 4.52447681e-09  1.50000000e+00  5.47502850e-02  1.09167540e+00  1.06280494e+00  8.67916677e-03 -2.59516792e-02 
 4.56447681e-09  1.50000000e+00  5.41074394e-02  1.08538067e+00  1.05610293e+00  2.17649688e-02 -1.72579483e-02 
 4.60447681e-09  1.50000000e+00  5.45932307e-02  1.07909806e+00  1.04941500e+00  3.60828022e-02 -7.66586183e-03 
 4.64447681e-09  1.50000000e+00  5.39626150e-02  1.07282427e+00  1.04273844e+00  5.18646078e-02  3.05662273e-03 
 4.68447681e-09  1.50000000e+00  5.44357663e-02  1.06656288e+00  1.03607632e+00  6.89981081e-02  1.47980563e-02 
 4.72447681e-09  1.50000000e+00  5.38171043e-02  1.06031060e+00  1.02942590e+00  8.77016911e-02  2.77805789e-02 
 4.76447681e-09  1.50000000e+00  5.42778980e-02  1.05407100e+00  1.02279025e+00  1.07858252e-01  4.18910187e-02 
 4.80447681e-09  1.50000000e+00  5.36709169e-02  1.04784078e+00  1.01616662e+00  1.29670896e-01  5.73393303e-02 
 4.84447681e-09  1.50000000e+00  5.41198588e-02  1.04162331e+00  1.00955781e+00  1.53003525e-01  7.39957726e-02 
 4.88447681e-09  1.50000000e+00  5.35242775e-02  1.03541517e+00  1.00296092e+00  1.78042276e-01  9.20555371e-02 
 4.92447681e-09  1.50000000e+00  5.39611794e-02  1.02922011e+00  9.96379317e-01  2.04670555e-01  1.11409380e-01 
 4.96447681e-09  1.50000000e+00  5.33767431e-02  1.02303490e+00  9.89810282e-01  2.33056677e-01  1.32235396e-01 
 5.00447681e-09  1.50000000e+00  5.38021043e-02  1.01686291e+00  9.83256770e-01  2.63057989e-01  1.54396889e-01 
 5.04447681e-09  1.50000000e+00  5.32285534e-02  1.01070085e+00  9.76716019e-01  2.94820888e-01  1.78043726e-01 
 5.08447681e-09  1.50000000e+00  5.36426311e-02  1.00455201e+00  9.70190950e-01  3.28187149e-01  2.03003750e-01 
 5.12447681e-09  1.50000000e+00  5.30797072e-02  9.98412887e-01  9.63678730e-01  3.63270088e-01  2.29338193e-01 
 5.16447681e-09  1.50000000e+00  5.34825227e-02  9.92286058e-01  9.57182479e-01  3.99831368e-01  2.56551503e-01 
 5.20447681e-09  1.50000000e+00  5.29299730e-02  9.86166805e-01  9.50699292e-01  4.37856690e-01  2.84057821e-01 
 5.24447681e-09  1.50000000e+00  5.33221561e-02  9.80054724e-01  9.44230972e-01  4.76997409e-01  3.10393579e-01 
 5.28447681e-09  1.50000000e+00  5.27796108e-02  9.73940693e-01  9.37773939e-01  5.17094966e-01  3.33448832e-01 
 5.32447681e-09  1.50000000e+00  5.31610273e-02  9.67820041e-01  9.31330545e-01  5.57707124e-01  3.49966287e-01 
 5.36447681e-09  1.50000000e+00  5.26280372e-02  9.61679424e-01  9.24897625e-01  5.98695955e-01  3.56230182e-01 
 5.40447681e-09  1.50000000e+00  5.29986708e-02  9.55510994e-01  9.18478319e-01  6.39808942e-01  3.47867648e-01 
 5.44447681e-09  1.50000000e+00  5.24747345e-02  9.49300528e-01  9.12070317e-01  6.81131528e-01  3.20831582e-01 
 5.48447681e-09  1.50000000e+00  5.28345591e-02  9.43043060e-01  9.05676833e-01  7.22472967e-01  2.71860166e-01 
 5.52447681e-09  1.50000000e+00  5.23192854e-02  9.36736905e-01  8.99295562e-01  7.63976463e-01  2.01812879e-01 
 5.56447681e-09  1.50000000e+00  5.26686770e-02  9.30413946e-01  8.92932499e-01  8.06347960e-01  1.22909801e-01 
 5.60447681e-09  1.50000000e+00  5.21626167e-02  9.24127830e-01  8.86590516e-01  8.51896538e-01  6.11413202e-02 
 5.64447681e-09  1.50000000e+00  5.25028907e-02  9.17903977e-01  8.80272017e-01  9.01928255e-01  3.00401282e-02 
 5.68447681e-09  1.50000000e+00  5.20062344e-02  9.11701830e-01  8.73969737e-01  9.55428881e-01  1.81889006e-02 
 5.72447681e-09  1.50000000e+00  5.23370369e-02  9.05494154e-01  8.67685829e-01  1.01102443e+00  1.19620734e-02 
 5.76447681e-09  1.50000000e+00  5.18490166e-02  8.99292102e-01  8.61418427e-01  1.06857220e+00  7.65943087e-03 
 5.80447681e-09  1.50000000e+00  5.21707146e-02  8.93125691e-01  8.55171072e-01  1.12791227e+00  4.99927822e-03 
 5.84447681e-09  1.50000000e+00  5.16916128e-02  8.86999540e-01  8.48940967e-01  1.18863402e+00  3.67682569e-03 
 5.88447681e-09  1.50000000e+00  5.20046372e-02  8.80908908e-01  8.42730865e-01  1.24949142e+00  2.95915659e-03 
 5.92447681e-09  1.50000000e+00  5.15341441e-02  8.74839176e-01  8.36539217e-01  1.30880223e+00  2.56341950e-03 
 5.96447681e-09  1.50000000e+00  5.18384568e-02  8.68784722e-01  8.30368194e-01  1.36350745e+00  2.19048527e-03 
 6.00447681e-09  1.50000000e+00  5.13760718e-02  8.62736535e-01  8.24203001e-01  1.40973510e+00  1.84896111e-03 
 6.04447681e-09  1.50000000e+00  5.16713711e-02  8.56695364e-01  8.18020873e-01  1.44440054e+00  1.41710119e-03 
 6.08447681e-09  1.50000000e+00  5.12162718e-02  8.50659033e-01  8.11801228e-01  1.46755477e+00  1.05717259e-03 
 6.12447681e-09  1.50000000e+00  5.15023223e-02  8.44633147e-01  8.05548248e-01  1.48154469e+00  7.26898907e-04 
 6.16447681e-09  1.50000000e+00  5.10543289e-02  8.38616509e-01  7.99271658e-01  1.48950978e+00  5.41199021e-04 
 6.20447681e-09  1.50000000e+00  5.13316058e-02  8.32613082e-01  7.92986310e-01  1.49380298e+00  3.76766542e-04 
 6.24447681e-09  1.50000000e+00  5.08908643e-02  8.26619887e-01  7.86698528e-01  1.49611414e+00  3.12845596e-04 
 6.28447681e-09  1.50000000e+00  5.11597880e-02  8.20639750e-01  7.80416173e-01  1.49729319e+00  2.29245802e-04 
 6.32447681e-09  1.50000000e+00  5.07262655e-02  8.14669262e-01  7.74139829e-01  1.49794759e+00  2.14858522e-04 
